symbol,open_time,open,high,low,close,volume,direction
BNBUSDT,2026-03-01 00:00:00,617.14,618.2,615.43,617.96,2774.37,UP
BNBUSDT,2026-03-01 01:00:00,617.97,628.1,614.52,625.07,11847.841,UP
BNBUSDT,2026-03-01 02:00:00,625.08,631.6,624.97,629.81,19103.217,UP
BNBUSDT,2026-03-01 03:00:00,629.82,632.16,627.8,628.53,7201.062,DOWN
BNBUSDT,2026-03-01 04:00:00,628.54,631.31,625.74,629.74,9872.819,UP
BNBUSDT,2026-03-01 05:00:00,629.74,631.01,627.66,627.75,3656.44,DOWN
BNBUSDT,2026-03-01 06:00:00,627.76,628.14,623.0,625.11,7928.977,DOWN
BNBUSDT,2026-03-01 07:00:00,625.12,626.0,623.35,625.35,3730.854,UP
BNBUSDT,2026-03-01 08:00:00,625.36,626.42,619.13,620.15,5648.631,DOWN
BNBUSDT,2026-03-01 09:00:00,620.15,623.35,618.71,620.02,4572.772,DOWN
BNBUSDT,2026-03-01 10:00:00,620.02,623.46,618.99,623.14,3682.261,UP
BNBUSDT,2026-03-01 11:00:00,623.15,624.43,622.46,622.81,3017.101,DOWN
BNBUSDT,2026-03-01 12:00:00,622.8,623.28,620.51,620.52,4858.864,DOWN
BNBUSDT,2026-03-01 13:00:00,620.52,628.81,619.74,625.92,10447.886,UP
BNBUSDT,2026-03-01 14:00:00,625.93,629.51,625.68,627.84,5804.381,UP
BNBUSDT,2026-03-01 15:00:00,627.84,629.8,626.3,626.6,5382.353,DOWN
BNBUSDT,2026-03-01 16:00:00,626.6,629.6,619.95,622.96,9282.602,DOWN
BNBUSDT,2026-03-01 17:00:00,622.97,623.79,617.39,619.51,5303.939,DOWN
BNBUSDT,2026-03-01 18:00:00,619.51,625.4,619.31,622.99,5120.706,UP
BNBUSDT,2026-03-01 19:00:00,622.99,623.32,618.65,619.77,5845.158,DOWN
BNBUSDT,2026-03-01 20:00:00,619.77,620.57,611.37,612.53,5898.815,DOWN
BNBUSDT,2026-03-01 21:00:00,612.52,617.5,611.83,611.93,7318.987,DOWN
